date,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dataQualityGrade,lastUpdateEt,dateModified,checkTimeEt,death,hospitalized,dateChecked,totalTestsViral,positiveTestsViral,negativeTestsViral,positiveCasesViral,fips,positiveIncrease,negativeIncrease,total,totalTestResults,totalTestResultsIncrease,posNeg,deathIncrease,hospitalizedIncrease,hash,commercialScore,negativeRegularScore,negativeScore,positiveScore,score,grade
20200615,SD,5928,60467,,93,544,,,,,4961,B,6/14/20 18:00,2020-06-14T18:00:00Z,6/14/20 14:00,75,544,2020-06-14T18:00:00Z,,,,5928,46,30,1046,66395,66395,1076,66395,0,5,40dd023b458499d9f0a79cd08ca83bd502dbdf80,0,0,0,0,0,
20200615,TN,31160,598818,,,2106,,,,,20062,B,6/15/20 15:00,2020-06-15T15:00:00Z,6/15/20 11:00,483,2106,2020-06-15T15:00:00Z,629769,36284,593485,30951,47,728,14030,629978,629978,14758,629978,8,19,549e8ce54020ce73bfc9279dc0e7cfa0b7467088,0,0,0,0,0,
20200615,TX,89108,1225653,,2326,,,,,,59089,B,6/15/20 16:50,2020-06-15T16:50:00Z,6/15/20 12:50,1983,,2020-06-15T16:50:00Z,1314761,,,,48,1254,17524,1314761,1314761,18778,1314761,7,0,4263a4506b36dd9116b8b019acee62a3c40d70c8,0,0,0,0,0,
20200615,UT,14608,258330,,184,1041,72,304,,134,8380,B,6/15/20 10:37,2020-06-15T10:37:00Z,6/15/20 6:37,143,1041,2020-06-15T10:37:00Z,,,,14608,49,295,4930,272938,272938,5225,272938,4,13,b2185e724c16791fda45cfca6e59bb15f30f86c9,0,0,0,0,0,
20200615,VA,54886,424113,259,902,8132,269,,130,,7230,A+,6/14/20 17:00,2020-06-14T17:00:00Z,6/14/20 13:00,1552,8132,2020-06-14T17:00:00Z,476573,,,52460,51,380,9619,479258,478999,9999,478999,6,-4,1883d1c3855da9c54c9ae70f2227276d3724cc16,0,0,0,0,0,
20200615,VI,73,2305,5,,,,,,,64,C,6/15/20 7:46,2020-06-15T07:46:00Z,6/15/20 3:46,6,,2020-06-15T07:46:00Z,,,,73,78,1,0,2383,2378,1,2378,0,0,3b976a34024d96ee97b0cbe86d3a14865e793a68,0,0,0,0,0,
20200615,VT,1128,51429,,16,,,,,,912,B,6/15/20 0:00,2020-06-15T00:00:00Z,6/14/20 20:00,55,,2020-06-15T00:00:00Z,,,,1128,50,1,1574,52557,52557,1575,52557,0,0,f5699a4c227e3dbd243782055ace9f71ec94fce5,0,0,0,0,0,
20200615,WA,25834,436768,,197,3856,,,41,,,B,6/14/20 2:59,2020-06-14T02:59:00Z,6/13/20 22:59,1217,3856,2020-06-14T02:59:00Z,,,,25834,53,296,12160,462602,462602,12456,462602,4,11,facb300010a64051afa09bff83d111e1c5a67b4c,0,0,0,0,0,
20200615,WI,22932,403447,188,284,3061,100,680,,,16837,A+,6/15/20 16:00,2020-06-15T16:00:00Z,6/15/20 12:00,694,3061,2020-06-15T16:00:00Z,,,,22932,55,174,6081,426567,426379,6255,426379,2,12,e8e92e7ff873b387c033fdf84754f89341ef71fb,0,0,0,0,0,
20200615,WV,2298,129655,,25,,8,,2,,1585,B,6/15/20 10:00,2020-06-15T10:00:00Z,6/15/20 6:00,88,,2020-06-15T10:00:00Z,,,,2220,54,9,745,131953,131953,754,131953,0,0,2a03743b1c9cc1e362a92352d90663b3349e9aae,0,0,0,0,0,
20200615,WY,1060,31546,,4,93,,,,,834,C,6/15/20 18:00,2020-06-15T18:00:00Z,6/15/20 14:00,18,93,2020-06-15T18:00:00Z,32387,941,30446,841,56,0,-459,32606,32606,-459,32606,0,0,327c2f542a60b02b067429bfa52f71dda41dc709,0,0,0,0,0,
20200614,AK,661,72806,,11,,,,1,,411,A,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,12,,2020-06-14T00:00:00Z,73467,,,,2,7,1657,73467,73467,1664,73467,0,0,e4689615ee7b910984dc813a587128ae5b1b7335,0,0,0,0,0,
20200614,AL,25615,271840,,540,2255,,675,,395,13508,B,6/14/20 11:00,2020-06-14T11:00:00Z,6/14/20 7:00,773,2255,2020-06-14T11:00:00Z,,,,25235,1,1014,3189,297455,297455,4203,297455,0,14,ad408ffeffbe5d1a8ac9b56586ecffe78dc2804c,0,0,0,0,0,
20200614,AR,12501,184488,,204,998,,,46,162,8110,A,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,179,998,2020-06-14T00:00:00Z,,,,12501,5,954,9018,196989,196989,9972,196989,3,19,7a1373dc0a9d41f463a820a16399802fdd3311c0,0,0,0,0,0,
20200614,AS,0,174,,,,,,,,,C,6/1/20 0:00,2020-06-01T00:00:00Z,5/31/20 20:00,0,,2020-06-01T00:00:00Z,,,,,60,0,0,174,174,0,174,0,0,a7f92ee7b46d1daadf91fe1ec880b62db8a3e7de,0,0,0,0,0,
20200614,AZ,35691,302354,,1457,3726,452,,317,,6333,A+,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,1186,3726,2020-06-14T00:00:00Z,337728,,,35374,4,1233,8415,338045,338045,9648,338045,3,34,49ad7a0f959d01b5c2337b5247d51d80a96e4dd0,0,0,0,0,0,
20200614,CA,148855,2653141,,4247,,1280,,,,,B,6/14/20 0:00,2020-06-14T00:00:00Z,6/13/20 20:00,5063,,2020-06-14T00:00:00Z,2801996,,,148855,6,3212,74391,2801996,2801996,77603,2801996,74,0,5bdf68836b6e269941b2d98ae4c4080e7658dc24,0,0,0,0,0,
